SiteID,Latitude,Longitude,Elevation,d18O,nyrs
LQS11_LQR5b,18.372260000000001,-65.763109999999998,5.0,-2.2650505947341002,4.0
MN_CBS,48.07,114.52,759.0,-10.579479950530082,1.0
MN_KBU,47.280000000000001,108.78,1255.0,-12.280509581703512,1.0
MN_MDG,45.75,106.27,1393.0,-12.186728047084362,1.0
MN_MNG,48.200000000000003,108.5,1439.0,-12.721842770640993,1.0
MN_SHB,50.25,106.20999999999999,626.0,-14.81029699105345,1.0
MN_UDH,47.32,110.67,1033.0,-11.553253804411069,1.0
MZV_airport,4.0499999999999998,114.81,24.0,-8.9352560742966709,6.0
NN051,35.446640000000002,-109.0436,2086.3560000000002,-6.2181717904024127,1.0
NN052,35.364789999999999,-108.49397,2006.8030000000001,-8.5640923701191447,1.0
OR18,45.224699999999999,-118.51300000000001,1254.0,-13.896486542747025,7.0
REP,48.709600000000002,-118.7222,891.0,-13.513504772885709,1.0
Rivendell,39.728999999999999,-123.64400000000001,392.0,-7.7278572237644259,5.0
SAfricaPrec_01,-29.100000000000001,26.300000000000001,1351.0,-2.9535458972541875,1.0
SAfricaPrec_02,-33.960000000000001,18.460000000000001,115.0,-3.5115145185836569,14.0
SAfricaPrec_04,-29.969999999999999,30.940000000000001,8.0,-1.8107995540034159,1.0
SAfricaPrec_05,-29.016999999999999,29.867000000000001,1221.0,-2.9493080445535833,1.0
SAfricaPrec_06,-19.690000000000001,18.120000000000001,1405.0,-4.4898685371783236,1.0
SAfricaPrec_07,-17.829999999999998,31.02,1471.0,-5.4383424859030187,2.0
SAfricaPrec_09,-25.2103,25.676500000000001,1207.0,-1.896989347773903,4.0
SAfricaPrec_10,-27.379999999999999,32.18,73.0,-2.406750600815164,2.0
SAfricaPrec_11,-27.27,32.770000000000003,20.0,-2.681605825726264,2.0
SAfricaPrec_12,-27.5,32.600000000000001,80.0,-2.3745161665391796,2.0
SAfricaPrec_13,-25.449999999999999,30.969999999999999,660.0,-3.230626182721132,1.0
SAfricaPrec_14,-28.719999999999999,28.620000000000001,2591.0,-2.3511506328128919,1.0
SAfricaPrec_15,-27.100000000000001,32.57,77.0,-1.8732966062627583,2.0
SAfricaPrec_18,-25.75,28.280000000000001,1377.0,-2.9940237918338566,5.0
SAfricaPrec_19,-25.77,28.260000000000002,1431.0,-3.574893661557752,8.0
SAfricaPrec_20,-27.050000000000001,32.420000000000002,69.0,-2.5320719021622828,2.0
SAfricaPrec_21,-27.530000000000001,32.68,5.0,-2.7689363655975692,2.0
SAfricaPrec_22,-24.219999999999999,18.41,1214.0,-2.134105875753542,4.0
SAfricaPrec_25,-24.07883,25.029150000000001,1093.0,-1.9859995442412499,1.0
SAfricaPrec_34,-23.983370000000001,25.250389999999999,1147.0,-3.2628827603125177,1.0
SAfricaPrec_36,-23.687360000000002,18.276509999999998,1281.0,-4.4962755102040823,1.0
SAfricaPrec_38,-24.61694,18.63456,1132.0,-7.3712072696931656,1.0
SAfricaPrec_39,-23.730119999999999,17.479330000000001,1270.0,-7.2807228771992953,1.0
SAfricaPrec_40,-22.984000000000002,29.147500000000001,792.0,-3.8628995495985401,3.0
SanAgustin_PR,18.389299999999999,-66.569339999999997,178.0,-2.2850378281718076,16.0
Taiwan_ALS,23.510000000000002,120.81,2413.0,-7.0472888950256465,1.0
Taiwan_BL,24.23,121.31999999999999,2350.0,-11.234498334518555,2.0
Taiwan_CY,23.48,120.45999999999999,27.0,-5.8765479623873613,2.0
Taiwan_HC,24.75,121.0,34.0,-6.3126641659148026,2.0
Taiwan_HL,23.969999999999999,121.65000000000001,50.0,-7.1183161968607518,2.0
Taiwan_HY,23.300000000000001,120.31999999999999,69.0,-6.3363100156159868,1.0
Taiwan_IL,24.68,121.8,24.0,-6.0389213070869108,1.0
Taiwan_KL,25.129999999999999,121.70999999999999,27.0,-6.3475963385990335,1.0
Taiwan_LS,24.27,121.16,1980.0,-8.2135978439776594,1.0
Taiwan_PL,23.969999999999999,120.98,732.0,-9.1477379854385799,2.0
Taiwan_PT,22.030000000000001,120.69,54.0,-6.9555550119983653,2.0
Taiwan_TC,24.120000000000001,120.68000000000001,34.0,-6.1766751859028162,6.0
Taiwan_TD,22.84,121.09,250.0,-6.3485268649605446,3.0
Taiwan_TP,24.98,121.51000000000001,5.0,-5.454834191184041,3.0
Taiwan_TT,23.989999999999998,120.69,75.0,-6.8258631402335244,5.0
Taiwan_TY,24.949999999999999,121.02,105.0,-6.2186831446114974,3.0
